
digestive biscuits, 175g/6oz
butter, 75g/3oz * 125g/4½oz * 25g/1oz
Bramley apples, 200g/7oz
butter, softened, 75g/3oz
caster sugar, 75g/3oz * 125g/4½oz
free-range eggs, beaten, 2
ground almonds, 75g/3oz * 125g/4½oz
almond extract, 1 tsp * ½ tsp
flaked almonds, 50g/1¾oz * 50g/1¾oz
,  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *   *  
Plain Flour, 120g * 1tbsp * 125g * 2 tbs * 400g * 150g * 375g
Caster Sugar, 60g * 2 tbs * 175g * 50g
Butter, 30g * 1 tbsp * 1 knob * 25g * 25g * 250g * 125g * 175g * 180g * 6 tblsp * 100g 
Braeburn Apples, 300g
Demerara Sugar, 30g
Blackberrys, 120g * 600g
Cinnamon, ¼ teaspoon * garnish * 1 tsp 
Ice Cream, to serve
plain flour, 175g/6oz * 140g
chilled butter, 75g/2½oz
cold water, 2-3 tbsp
raspberry jam, 1 tbsp
free-range egg, beaten, 1
bread, 8 thin slices
sultanas, 50g/2oz
cinnamon, 2 tsp
milk, 350ml/12fl * 200ml
double cream, 50ml/2fl oz
eggs, 2 free-range
sugar, 25g/1oz
nutmeg, grated, to taste
mushrooms, 400g
English Mustard, 1-2tbsp * 1 tbsp * 1 tsp 
Olive Oil, Dash * 1 tbls * 2 tbs * 3 tbs * 2 tbs * 2 tbs * 1 tbs * 1 tbs
Beef Fillet, 750g piece * 500g
Parma ham, 6-8 slices
Puff Pastry, 500g * 400g
Flour, Dusting * 2-1/2 cups * 3 tbs * 50g
Egg Yolks, 2 Beaten  * 2 free-range
Aubergine, 1 large
Onion, ½ cup  * 3 * 1 finely chopped  * 1 finely sliced * 1/2 cup  * 30g
Tomatoes, 1 cup
Garlic, 6 cloves * 5 cloves * 4 cloves * 1 clove * 2 cloves minced * 2 cloves minced
Green Chili, 1
Red Chili Powder, ¼ teaspoon
Oil, 1.5 tablespoon * 1 tsp  * for frying * 5 tbs
Coriander Leaves, 1 tablespoon chopped
salt, as required
Beef Brisket, 4-5 pound
Salt, Dash * pinch * pinch * 1 ½ tsp * pinch * Pinch * Pinch
Thyme, 1 Sprig * 3 tbs * 3 sprigs * 1 tbs chopped * sprigs of fresh * sprigs of fresh * 2 tsp
Rosemary, 1 sprig  * sprigs of fresh
Bay Leaves, 4 * 3
beef stock, 2 cups
Carrots, 3 Large * 1 Packet * 150g * 2 chopped * 1 chopped
Mustard, 1 Tbsp * 2 tbs
Potatoes, 4 Mashed * 1 Packet * 1 medium * 1.5kg * 3 Medium
Beef, 8 slices * 1kg * 750g * 1kg * 900g * 1/2 lb * 400g
Broccoli, 12 florets * 1 Head chopped
Eggs, 4 * 2 medium * To Glaze * 3 Medium * To Glaze * 2 * 4 large * 2 Beaten 
sunflower oil, drizzle (for cooking)
Onions, 3 * 1 * 175g * 2 finely chopped * 2 chopped
Olive oil, Dash
Chorizo, 300g
Cumin, 2 tsp
All spice, 2 tsp
Cloves, 1 tsp
Cinnamon stick, 1 large
Oregano, 2 tsp dried
Ancho Chillies, 2 ancho
Balsamic Vinegar, 3 tbsp
Plum Tomatoes, 2 x 400g
Tomato Ketchup, 2 tbsp
Dark Brown Sugar, 2 tbsp
Borlotti Beans, 2 x 400g tins
Mushrooms, 250g * 1 cup 
Creme Fraiche, 150g
Beef Stock, 100ml * 500g * 400ml * 400ml * 700ml
Parsley, Topping * 3 tblsp chopped * 2 tbs chopped * Garnish * 1 tbs
Rapeseed Oil, 2 tblsp  * 2 tbs
Celery, 1 * 150g
Leek, 1 sliced * 2 chopped
Vegetable Stock, 1 litre hot * 425g
Stilton Cheese, 140g
Sausages, 8 large
Tomato Sauce, 1 Jar
Butter Beans, 1200g
Black Treacle, 1 tbls
Banana, 1 large
Baking Powder, pinch * 1 tsp  * ½ tsp * ½ tsp
Vanilla Extract, spinkling * ½ tsp
Pecan Nuts, 25g
Raspberries, 125g
Swede, 200g
Red Wine, 150ml * 200ml * 750 ml 
Bay Leaf, 2 * 2 * 2
Suet, 60g
Water, Splash * 1/2 cup  * 1 cup 
Green Beans, 300g
Pepper, pinch * pinch * Pinch * Pinch
Shallots, 3
Bacon, 125g * 100g  * 2 strips
Stout, 330ml
Corn Flour, 2 tbs
Oysters, 8
Hazlenuts, 50g
